question,answer
变压器一二次侧间的功率传递靠什么作用实现 在等效电路上可以用那些点亮的成绩来表示  变压器能否直接传递直流电功率,变压器一、二次侧间的功率传递是靠电磁感应作用来实现的，一次侧传进给二次侧的有功功率可用和的点乘，即标量积来表示。传进给二次侧的有功功率为Pm=E1I2=E2I2=E2I2，因为通直流电时感应电动势E和E都等于零所以不能传递直流电功率。
变压器做空载短路试验时，从电源输入的有功功率主要消耗在什么地方？在一二次侧分别做同一实验测得的输入功率相同吗？为什么？,变压器空载试验时，从电源输入的有功功率主要消耗是铁损耗，变压器短路试验时，从电源输入的有功功率主要消耗在铜损耗，在一二次侧分别做同一试验，测得的输入功率是相同的，因为铁芯的状态、原副边绕组的状态没有差别，其发热状态就一样，能量损耗就一样，所以测量输入的有功功率应该是相同的。
三绕组变压器一次绕组的额定容量与二三次绕组的额定总容量是相同的吗？为什么？,三绕组变压器的额定容量是按每个绕组分别计算的 它等于绕组额定电流乘以额定电压 ，通常三个绕的容量按不同比列搭配，一次绕组的额定容量与二三次绕组的额定总容量是不相同的，绕组的额定容量仅反映绕组带负载的能力 在具体运行时各绕组的负载分配应符合能量守恒定律 即输入功率等于输出功率加上变压器本身消耗。
三绕组变压器一次绕组接额定电压运行时，二次绕组负载发生变化，是否会对三次绕组的端电压产生影响？为什么?,一次绕组接额定电压不变时，二次绕组负载发生变化，即二次绕组电流发生变化，根据磁动势平衡关系一三次绕组电流会相应的变化 所以一次绕组漏阻抗压降与三次绕组漏阻抗抗压降会发生应变化 使三此绕组的端电压发生变化 可根据三绕组变压器的等效电路对三次绕组端电压的变化值进行测定。
自耦变压器的变化比k通常在什么范围内  ？太大太小有何优缺点？,K通常大于1小于等于2  太大使绕组容量接近变压器容量优越性降低，也使高低压相差悬殊，太小可以直接传导 就不需要变压器。
如果电源电压不变 三相异步电动机的主磁通大小与什么因素有关,如果电源电压不变，则三相异步电动机的主磁通的大小就于定子电流有关，因为定子电流还与转速有关，所以主磁通的大小还与转子转速有关，或者和转差率有关。
三相异步电动机的负载转矩是否任何时候都绝对不可超过额定转矩？为什么,异步电动机的负载转矩不是任何时候都绝对不可超过额定转矩的，额定转矩时根据电动机长期连续运行温升的限制所确定的，只要电动机温升不超过气温升限制，负载转矩短时超过额定转矩是可以的。
三相异步电动机外加电压的大小与堵转电流的关系，与堵转转矩又有什么关系，为什么电磁转矩随外加电压的平方变化？,堵转电流与外加电压成正比，堵转转矩与外加电压平方成正比，这是因为电磁转矩等于电磁功率除以电磁功率与电压平方成正比。另一方面 电磁转矩与气隙每极磁通量，转子相电流以及转子功率因数成正比，气隙每极磁通量与电压成正比，转子相电流也与与电压成正比所以电磁转矩随外加电压的平方变化。
三相异步电机的堵转电流与外加电压，电机所带负载是否有关？关系如何？是否堵转电流越大堵转转矩也越大？负载转矩的大小只会对启动时间的长短产生什么影响？,堵转电流与外加电压成正比关系，与所带负载无关。若电机参数不变，则堵转电流越大，堵转转矩也越大。负载转矩的大小只会对启动时间的长短产生影响。
同步电机的励磁方式有哪些,直流发电机励磁、静止整流装置励磁、旋转整流装置励磁。
为什么采用短距可以削弱双层绕组电动势的谐波。,双层短距绕组可以等效为两个相位相差短距角β的单层绕组，其双层短距绕组的基波和谐波电势为两个单层绕组相应电势的矢量和，其数值分别小于其代数和，其减小系数为短距因数，谐波的短距因数要小于基波的短距因数。因此，通过短距，牺牲一点基波来达到更多地抑制谐波的作用。
三相感应电动机的调速方法有哪些,变极、变频、变压、转子回路串电阻（绕线式电机）。
什么是同步电机？它的转速由什么决定？同步电机和异步电机的根本区别是什么？汽轮发电机和水轮发电机的主要结构特点是什么？为什么前者总做成细长形状，而后者总做成矮胖形状？,汽轮发电机由汽轮机拖动，汽轮机是高速原动机，因此汽轮发电机普遍做成二极机，极数少，直径无需做大便有足够空间安排磁机，同时从旋转件的机械应力考虑，也要求做成细长形，这样铜线利用率高。水轮发电机由水轮机拖动，水轮机是低速原动机，要得到较高的频率，因此极数多，直径必需做大才有足够空间安排磁机，因此水轮发电机必需做成矮胖形。
在8个灯泡串联的电路中，除4号灯不亮外其它7个灯都亮。当把4号灯从灯座上取下后，剩下7个灯仍亮，问电路中有何故障？为什么？,电路中发生了4号灯短路故障，当它短路时，在电路中不起作用，因此放上和取下对电路不发生影响。
额定电压相同、额定功率不等的两个白炽灯，能否串联使用？,不能，因为这两个白炽灯的灯丝电阻不同，瓦数大的灯电阻小分压少，不能正常工作，瓦数小的灯电阻大分压多易烧。
电桥电路是复杂电路还是简单电路？当电桥平衡时，它是复杂电路还是简单电路？为什么？,电桥电路处于平衡状态时，由于桥支路电流为零可拿掉，因此四个桥臂具有了串、并联关系，是简单电路，如果电桥电路不平衡，则为复杂电路。
直流电、脉动直流电、交流电、正弦交流电的主要区别是什么？,直流电的大小和方向均不随时间变化；脉动直流电的大小随时间变化，方向不随时间变化；交流电的大小和方向均随时间变化；正弦交流电的大小和方向随时间按正弦规律变化。
负载上获得最大功率时，电源的利用率大约是多少？,负载上获得最大功率时，电源的利用率约为50%。
电路等效变换时，电压为零的支路可以去掉吗？为什么？,电路等效变换时，电压为零的支路不可以去掉。因为短路相当于短接，要用一根短接线代替。
在电路等效变换过程中，受控源的处理与独立源有哪些相同？有什么不同？,在电路等效变换的过程中，受控电压源的控制量为零时相当于短路；受控电流源控制量为零时相当于开路。当控制量不为零时，受控源的处理与独立源无原则上区别，只是要注意在对电路化简的过程中不能随意把含有控制量的支路消除掉。
工程实际应用中，利用平衡电桥可以解决什么问题？电桥的平衡条件是什么？,工程实际应用中，利用平衡电桥可以较为精确地测量电阻，电桥平衡的条件是对臂电阻的乘积相等。
试述“电路等效”的概念。,两个电路等效，是指其对端口以外的部分作用效果相同。
试述参考方向中的“正、负”，“加、减”，“相反、相同”等名词的概念。,“正、负”是指在参考方向下，某电量为正值还是为负值；“加、减”是指方程式各量前面的加、减号；“相反、相同”则指电压和电流方向是非关联还是关联。
试述回路电流法求解电路的步骤。回路电流是否为电路的最终求解响应？,回路电流法求解电路的基本步骤如下：1．选取独立回路(一般选择网孔作为独立回路)，在回路中标示出假想回路电流的参考方向，并把这一参考方向作为回路的绕行方向。2．建立回路的KVL方程式。应注意自电阻压降恒为正值，公共支路上互电阻压降的正、负由相邻回路电流的方向来决定：当相邻回路电流方向流经互电阻时与本回路电流方向一致时该部分压降取正，相反时取负。方程式右边电压升的正、负取值方法与支路电流法相同。3．求解联立方程式，得出假想的各回路电流。4．在电路图上标出客观存在的各支路电流的参考方向，按照它们与回路电流之间的关系，求出各条支路电流。回路电流是为了减少方程式数目而人为假想的绕回路流动的电流，不是电路的最终求解响应，最后要根据客观存在的支路电流与回路电流之间的关系求出支路电流。
一个不平衡电桥电路进行求解时，只用电阻的串并联和欧姆定律能够求解吗？,不平衡电桥电路是复杂电路，只用电阻的串并联和欧姆定律是无法求解的，必须采用KCL和KCL及欧姆定律才能求解电路。
试述戴维南定理的求解步骤？如何把一个有源二端网络化为一个无源二端网络？在此过程中，有源二端网络内部的电压源和电流源应如何处理？,戴维南定理的解题步骤为：1．将待求支路与有源二端网络分离，对断开的两个端钮分别标以记号（例如a和b）；2．对有源二端网络求解其开路电压UOC；3．把有源二端网络进行除源处理：其中电压源用短接线代替；电流源断开。然后对无源二端网络求解其入端电阻R入；4．让开路电压UOC等于戴维南等效电路的电压源US，入端电阻R入等于戴维南等效电路的内阻R0，在戴维南等效电路两端断开处重新把待求支路接上，根据欧姆定律求出其电流或电压。把一个有源二端网络化为一个无源二端网络就是除源，如上述3.所述。
正弦交流电的三要素是什么,正弦交流电的三要素是指正弦量的最大值 、角频率和初相。
描述正弦交流电的相关性质,反映正弦交流电振荡幅度的量是它的最大值；反映正弦量随时间变化快慢程度的量是它的频率 ；确定正弦量计时始位置的是它的初相。
描述相位差的概念,两个同频率正弦量之间的相位之差称为相位差，不同频率的正弦量之间不存在相位差的概念。
电抗和电阻相同么,电抗和电阻的概念不同，都是阻碍交流电流的因素。
电源电压不变，当电路的频率变化时，通过电感元件的电流发生变化吗？,频率变化时，感抗增大，所以电源电压不变，电感元件的电流将减小。
某电容器额定耐压值为450伏，能否把它接在交流380伏的电源上使用？为什么？,380×1.414=537V>450V，不能把耐压为450V的电容器接在交流380V的电源上使用，因为电源最大值为537V，超过了电容器的耐压值。
你能说出电阻和电抗的不同之处和相似之处吗？它们的单位相同吗？,电阻在阻碍电流时伴随着消耗，电抗在阻碍电流时无消耗，二者单位相同。
无功功率和有功功率有什么区别？能否从字面上把无功功率理解为无用之功？为什么？,有功功率反映了电路中能量转换过程中不可逆的那部分功率，无功功率反映了电路中能量转换过程中只交换、不消耗的那部分功率，无功功率不能从字面上理解为无用之功，因为变压器、电动机工作时如果没有电路提供的无功功率将无法工作。
从哪个方面来说，电阻元件是即时元件，电感和电容元件为动态元件？又从哪个方面说电阻元件是耗能元件，电感和电容元件是储能元件？,从电压和电流的瞬时值关系来说，电阻元件电压电流为欧姆定律的即时对应关系，因此称为即时元件；电感和电容上的电压电流上关系都是微分或积分的动态关系，因此称为动态元件。从瞬时功率表达式来看，电阻元件上的瞬时功率恒为正值或零，所以为耗能元件，而电感和电容元件的瞬时功率在一个周期内的平均值为零，只进行能量的吞吐而不耗能，所以称为储能元件。
正弦量的初相值有什么规定？相位差有什么规定？,正弦量的初相和相位差都规定不得超过180°。
直流情况下，电容的容抗等于多少？容抗与哪些因素有关？,直流情况下，电容的容抗等于无穷大，称隔直流作用。容抗与频率成反比，与电容量成反比。
感抗、容抗和电阻有何相同？有何不同？,感抗、容抗在阻碍电流的过程中没有消耗，电阻在阻碍电流的过程中伴随着消耗，这是它们的不同之处，三者都是电压和电流的比值，因此它们的单位相同，都是欧姆。
额定电压相同、额定功率不等的两个白炽灯，能否串联使用？,额定电压相同、额定功率不等的两个白炽灯是不能串联使用的，因为串联时通过的电流相同，而这两盏灯由于功率不同它们的灯丝电阻是不同的：功率大的白炽灯灯丝电阻小分压少，不能正常工作；功率小的白炽灯灯丝电阻大分压多容易烧损。
如何理解电容元件的“通交隔直”作用？,直流电路中，电容元件对直流呈现的容抗为无穷大，阻碍直流电通过，称隔直作用；交流电路中，电容元件对交流呈现的容抗很小，有利于交流电流通过，称通交作用。
请描述相量。,与正弦量具有一一对应关系的复数电压、复数电流称之为相量 。最大值相量的模对应于正弦量的最大值，有效值相量的模对应正弦量的有效值，它们的幅角对应正弦量的初相。
什么是相量图。,按照各个正弦量的大小和相位关系用初始位置的有向线段画出的若干个相量的图形，称为相量图。
描述有效值相量图的线段长度，与正向实轴之间的夹角的物理含义。,有效值相量图中，各相量的线段长度对应了正弦量的有效值，各相量与正向实轴之间的夹角对应正弦量的初相 。相量图直观地反映了各正弦量之间的数量关系和相位关系。
额定电压相同、额定功率不等的两个白炽灯，能否串联使用？,不能串联使用。因为额定功率不同时两个白炽灯分压不同。
试述提高功率因数的意义和方法。,提高功率因数可减少线路上的功率损耗，同时可提高电源设备的利用率，有利于国民经济的发展。提高功率因数的方法有两种：一是自然提高法，就是避免感性设备的空载和尽量减少其空载；二是人工补偿法，就是在感性线路两端并联适当的电容。
相量等于正弦量的说法对吗？正弦量的解析式和相量式之间能用等号吗？,相量可以用来表示正弦量，相量不是正弦量，因此正弦量的解析式和相量式之间是不能画等号的。
电压、电流相位如何时只吸收有功功率？只吸收无功功率时二者相位又如何？,电压、电流相位同相时只吸收有功功率，当它们相位正交时只吸收无功功率。
阻抗三角形和功率三角形是相量图吗？电压三角形呢？,阻抗三角形和功率三角形都不是相量图，电压三角形是相量图。
并联电容器可以提高电路的功率因数，并联电容器的容量越大，功率因数是否被提得越高？为什么？会不会使电路的功率因数为负值？是否可以用串联电容器的方法提高功率因数？,并联电容器可以提高电路的功率因数，但提倡欠补偿，如果并联电容器的容量过大而出现过补偿时，会使电路的功率因数为负值，即电路由感性变为容性，当并联电容达到某一数值时，还会导致功率因数继续下降（可用相量图分析）。实际中是不能用串联电容器的方法提高电路的功率因数的，因为串联电容器可以分压，设备的额定电压将发生变化而不能正常工作。
何谓串联谐振？串联谐振时电路有哪些重要特征？,在含有LC的串联电路中，出现了总电压与电流同相的情况，称电路发生了串联谐振。串联谐振时电路中的阻抗最小，电压一定时电路电流最大，且在电感和电容两端出现过电压现象。
发生并联谐振时，电路具有哪些特征？,电路发生并谐时，电路中电压电流同相，呈纯电阻性，此时电路阻抗最大，总电流最小，在L和C支路上出现过电流现象。
为什么把串谐称为电压谐振而把并谐电路称为电流谐振？,串联谐振时在动态元件两端出现过电压因之称为电压谐振；并联谐振时在动态元件的支路中出现过电流而称为电流谐振。
何谓串联谐振电路的谐振曲线？说明品质因数Q值的大小对谐振曲线的影响。,电流与谐振电流的比值随着频率的变化而变化的关系曲线称为谐振曲线。由谐振曲线可看出，品质因数Q值的大小对谐振曲线影响较大，Q值越大时，谐振曲线的顶部越尖锐，电路选择性越好；Q值越小，谐振曲线的顶部越圆钝，选择性越差。
LC并联谐振电路接在理想电压源上是否具有选频性？为什么？,LC并联谐振电路接在理想电压源上就不再具有选频性。因为理想电压源不随负载的变化而变化。
有一台电视机，额定功率为100W，接在220V的电源上，求电视机的电流和电视机在220V电压下工作时的电阻。如果每天使用4小时，问一个月消耗电能多少千瓦时？（假设一个月有30天）,首先，计算电流：电流 (I = \frac{{\text{功率}}}{{\text{电压}}} = \frac{{100，\text{W}}}{{220，\text{V}}} \approx 0.455，\text{A})然后，计算电阻：电阻 (R = \frac{{\text{电压}}}{{\text{电流}}} = \frac{{220，\text{V}}}{{0.455，\text{A}}} \approx 483.52，\Omega)。接下来，计算每天的电能消耗：每天的电能消耗 (= \text{功率} \times \text{使用时间} = 100，\text{W} \times 4，\text{小时} = 400，\text{Wh})。最后，计算一个月的电能消耗：一个月的电能消耗 (= \text{每天的电能消耗} \times \text{天数} = 400，\text{Wh} \times 30，\text{天} = 12000，\text{Wh} = 12，\text{kWh})。因此，一个月的电能消耗为12千瓦时（kWh），保留一位小数。
数 8 的4bit补码是?,8的4位二进制表示是 1000。对于正数的补码表示，补码和原码相同，因此8的4位补码仍然是 1000。
什么是自感现象与互感现象。,当流过一个线圈中的电流发生变化时，在线圈本身所引起的电磁感应现象称 自感 现象，若本线圈电流变化在相邻线圈中引起感应电压，则称为互感现象。
自感电压何时取正，何时取负。,当端口电压、电流为关联参考方向时，自感电压取正；若端口电压、电流的参考方向非关联时，则自感电压为负。
什么是初级回路，什么是次级回路。,空芯变压器与信号源相连的电路称为  初级 回路，与负载相连接的称为  次级  回路。空芯变压器次级对初级的反射阻抗Z1r= ω2M2/Z22。
共模抑制比的数值越大越好吗？,是的，共模抑制比（CMRR）的数值越大越好。共模抑制比是用来衡量差分放大器对共模信号的抑制能力。较高的共模抑制比表示差分放大器能更有效地抑制共模信号的干扰，增强对差模信号的放大。因此，共模抑制比越大，差分放大器对共模信号的抑制能力越强，性能越好。共模信号通常是来自于环境噪声、电源干扰或其他共同影响源。在许多应用中，我们希望差分放大器只放大差模信号，而不受共模信号的影响。较高的共模抑制比可以有效降低共模信号的干扰，提高系统的信号质量和抗干扰能力。因此，一般来说，共模抑制比的数值越大越好，表示差分放大器对共模信号的抑制能力更强。
试述同名端的概念。为什么对两互感线圈串联和并联时必须要注意它们的同名端？,由同一电流产生的感应电压的极性始终保持一致的端子称为同名端，电流同时由同名端流入或流出时，它们所产生的磁场彼此增强。实际应用中，为了小电流获得强磁场，通常把两个互感线圈顺向串联或同侧并联，如果接反了，电感量大大减小，通过线圈的电流会大大增加，将造成线圈的过热而导致烧损，所以在应用时必须注意线圈的同名端。
何谓耦合系数？什么是全耦合？,两个具有互感的线圈之间磁耦合的松紧程度用耦合系数表示，如果一个线圈产生的磁通全部穿过另一个线圈，即漏磁通很小可忽略不计时，耦合系数K=1，称为全耦合。
理想变压器和全耦合变压器有何相同之处？有何区别？,理想变压器和全耦合变压器都是无损耗，耦合系数K=1，只是理想变压器的自感和互感均为无穷大，而全耦合变压器的自感和互感均为有限值。
何谓同侧相并？异侧相并？哪一种并联方式获得的等效电感量增大？,两个互感线圈的同名端两两连在一起与电源相接的方式称为同侧相并，两个异名端两两连在一起与电源相接的方式为异侧相并，同侧相并时获得的等效电感量大。
如果误把顺串的两互感线圈反串，会发生什么现象？为什么？,两互感线圈顺串时$L_{顺}=L_{1}+L_{2}+2M$，反串时$L_{反}=L_{1}+L_{2}-2M$，由两式可看出，顺接时等效电感量大，因而感抗大，电压一定时电流小，如果误把顺串的两互感线圈反串，由于等效电感量大大减小，致使通过线圈的电流大大增加，线圈将由于过热而有烧损的危险。故联接时必须注意同名端.
描述三相电路对称时，三相瞬时功率之和。,当三相电路对称时，三相瞬时功率之和是一个常量，其值等于三相电路的有功功率，由于这种性能，使三相电动机的稳定性高于单相电动机。
如何测量对称三相电路的有功功率。,测量对称三相电路的有功功率，可采用二瓦计法，如果三相电路不对称，就不能用二瓦计法测量三相功率。
三相电源作三角形联接时，如果有一相绕组接反，后果如何？,三相电源作三角形联接时，如果有一相绕组接反，就会在发电机绕组内环中发生较大的环流，致使电源烧损。
为什么实用中三相电动机可以采用三相三线制供电，而三相照明电路必须采用三相四线制供电系统？,三相电动机是对称三相负载，中线不起作用，因此采用三相三线制供电即可。而三相照明电路是由单相设备接成三相四线制中，工作时通常不对称，因此必须有中线才能保证各相负载的端电压对称。
三相四线制供电体系中，为什么规定中线上不得安装保险丝和开关？,此规定说明不允许中线随意断开，以保证在Y接不对称三相电路工作时各相负载的端电压对称。如果安装了保险丝，若一相发生短路时，中线上的保险丝就有可能烧断而造成中线断开，开关若不慎在三相负载工作时拉断同样造成三相不平衡。
一台电动机本来为正转，如果把连接在它上面的三根电源线任意调换两根的顺序，则电动机的旋转方向改变吗？为什么？,任调电动机的两根电源线，通往电动机中的电流相序将发生变化，电动机将由正转变为反转，因为正转和反转的旋转磁场方向相反，而异步电动机的旋转方向总是顺着旋转磁场的方向转动的。
描述暂态和稳态。,暂态是指从一种稳态过渡到另一种稳态所经历的过程。
什么是换路定律。,在电路发生换路后的一瞬间，电感元件上通过的电流和电容元件上的端电压，都应保持换路前一瞬间的原有值不变。
一阶电路全响应的三要素有哪些,一阶电路全响应的三要素是指待求响应的初始值、稳态值和时间常数。
何谓电路的过渡过程？包含有哪些元件的电路存在过渡过程？,电路由一种稳态过渡到另一种稳态所经历的过程称过渡过程，也叫“暂态”。含有动态元件的电路在发生“换路”时一般存在过渡过程。
什么叫换路？在换路瞬间，电容器上的电压初始值应等于什么？,在含有动态元件L和C的电路中，电路的接通、断开、接线的改变或是电路参数、电源的突然变化等，统称为“换路”。根据换路定律，在换路瞬间，电容器上的电压初始值应保持换路前一瞬间的数值不变。
在RC充电及放电电路中，怎样确定电容器上的电压初始值？,在RC充电及放电电路中，电容器上的电压初始值应根据换路定律求解。
“电容器接在直流电源上是没有电流通过的”这句话确切吗？试完整地说明。,这句话不确切。未充电的电容器接在直流电源上时，必定发生充电的过渡过程，充电完毕后，电路中不再有电流，相当于开路。
RC充电电路中，电容器两端的电压按照什么规律变化？充电电流又按什么规律变化？RC放电电路呢？,RC充电电路中，电容器两端的电压按照指数规律上升，充电电流按照指数规律下降，RC放电电路，电容电压和放电电流均按指数规律下降。
RL一阶电路与RC一阶电路的时间常数相同吗？其中的R是指某一电阻吗？,RC一阶电路的时间常数τ=RC，RL一阶电路的时间常数τ=L/R，其中的R是指动态元件C或L两端的等效电阻。
RL一阶电路的零输入响应中，电感两端的电压按照什么规律变化？电感中通过的电流又按什么规律变化？RL一阶电路的零状态响应呢？,RL一阶电路的零输入响应中，电感两端的电压和电感中通过的电流均按指数规律下降；RL一阶电路的零状态响应中，电感两端的电压按指数规律下降，电压事通过的电流按指数规律上升。
通有电流的RL电路被短接，电流具有怎样的变化规律？,通过电流的RL电路被短接，即发生换路时，电流应保持换路前一瞬间的数值不变。
怎样计算RL电路的时间常数？试用物理概念解释：为什么L越大、R越小则时间常数越大？,RL电路的时间常数τ=L/R。当R一定时，L越大，动态元件对变化的电量所产生的自感作用越大，过渡过程进行的时间越长；当L一定时，R越大，对一定电流的阻碍作用越大，过渡过程进行的时间就越长。
什么叫周期性的非正弦波，你能举出几个实际中的非正弦周期波的例子吗？,周而复始地重复前面循环的非正弦量均可称为周期性非正弦波，如等腰三角波、矩形方波及半波整流等。
周期性的非正弦线性电路分析计算步骤如何，其分析思想遵循电路的什么原理？,周期性的非正弦线性电路的分析步骤为：①根据已知傅里叶级数展开式分项，求解各次谐波单独作用时电路的响应；②求解直流谐波分量的响应时，遇电容元件按开路处理，遇电感元件按短路处理；③求正弦分量的响应时按相量法进行求解，注意对不同频率的谐波分量，电容元件和电感元件上所呈现的容抗和感抗各不相同，应分别加以计算；④用相量分析法计算出来的各次谐波分量的结果一般是用复数表示的，不能直接进行叠加，必须要把它们化为瞬时值表达式后才能进行叠加。周期性非正弦线性电路分析思想遵循线性电路的叠加定理。
非正弦周期信号的谐波分量表达式如何表示？式中每一项的意义是什么？,非正弦周期信号的谐波分量表达式是用傅里叶级数展开式表示的，式中的每一项代表非正弦量的一次谐波。
何谓基波？何谓高次谐波？什么是奇次谐波和偶次谐波？,频率与非正弦波相同的谐波称为基波，它是非正弦量的基本成分；二次以上的谐波均称为高次谐波；谐波频率是非正弦波频率的奇数倍时称为奇次谐波；谐波频率是非正弦波频率的偶数倍时称为偶次谐波。
能否定性地说出具有奇次对称性的波形中都含有哪些谐波成分？,具有奇次对称性的非正弦周期波中，只具有奇次谐波成分，不存在直流成分及偶次谐波成分。
“只要电源是正弦的，电路中各部分电流及电压都是正弦的”说法对吗？为什么？,说法不对！电源虽然是正弦的，但是如果电路中存在非线性元件，在非线性元件上就会出现非正弦响应。
波形的平滑性对非正弦波谐波有什么影响？为什么？,非正弦波所包含的高次谐波的幅度是否显著，取决于波形的平滑性，因此波形的平滑性对非正弦波谐波影响很大。如稳恒直流电和正弦波，平滑性最好，不含有高次谐波；而方波和尖脉冲波，由于平滑性极差而含有丰富的高次谐波。
非正弦波的“峰值越大，有效值也越大”的说法对吗？试举例说明。,这种说法对正弦量是对的，对非正弦量就不对。例如一个方波的峰值和等腰三角波的峰值相比，如果等腰三角波的峰值大于方波，但等腰三角波的有效值不一定比方波大。
什么是电工电路，什么是电子电路。,实现电能输送和变换的电路称为电工电路；实现信息的传输和处理的电路称为电子电路。
电压损耗有什么表现,电压损耗是指电流通过电路元件或电线时所遭受的电压降低。这种降低可以由多种因素引起，包括电线的电阻、电路元件的内部电阻、连接器的接触电阻等。电压损耗的表现可以是以下几个方面：电压降低：电压损耗导致电路中的电压值下降。例如，如果在电路中有一段电线，由于电线的电阻，通过电线时会发生电压降低，使得电源输出的电压与负载端的电压之间存在差异。功率损耗：电压损耗会导致能量转化为热能，造成功率损耗。这是因为在电阻中通过的电流与电压降之间存在功率关系，根据欧姆定律，功率损耗等于电流的平方乘以电阻值。电路性能下降：电压损耗可能会导致电路性能下降。例如，在信号传输中，电压损耗可能导致信号衰减，造成信号强度降低、失真或噪声增加。系统效率降低：电压损耗会导致能源不高效利用，系统效率降低。电压损耗越大，能量转化的效率就越低，从而浪费了更多的能源。要减少电压损耗，可以采取一些措施，例如使用更粗的导线减少电线电阻、选择低电阻值的电路元件、确保连接器良好接触等。这样可以改善电路的效能和性能。
直接耦合放大电路有哪些好处和问题,好处：扩大频带宽度：直接耦合放大电路可以提供较宽的频带宽度，因为耦合元件不会引入额外的频率响应限制。低频响应良好：由于没有耦合电容的影响，直接耦合放大电路在低频范围内具有较好的响应，可以放大低频信号。高增益：直接耦合放大电路可以实现较高的增益，因为耦合元件不会引入额外的损耗或衰减。坏处：偏置稳定性：直接耦合放大电路对于偏置电压的稳定性要求较高。由于元件参数的变化或环境条件的变化，偏置电压可能会发生变化，从而影响放大器的工作状态。直流耦合电容的大小：在直接耦合放大电路中，为了避免直流偏置电压的影响，可能需要使用较大的直流耦合电容。这会增加电路的复杂性和成本。电压级匹配要求高：直接耦合放大电路中各级的电压级之间需要较高的匹配，以确保信号的正确传递和放大。这对于设计和制造过程都提出了一定的要求。零点漂移：指放大器输出在零输入信号时的偏移或漂移现象。零点漂移问题主要由两个方面引起：元件参数的变化：放大器中的电阻、晶体管等元件的参数可能会随时间、温度或其他环境条件的变化而发生漂移。这会导致放大器在零输入条件下输出信号的偏移。实施误差：在设计和制造过程中，由于元件选型、电路布局、工艺差异等因素，可能存在误差。这些误差会导致放大器的工作点发生偏移，产生零点漂移。
依据一次能源的不同，发电厂可分为哪些。,水力发电厂、火力发电厂、核能发电厂。
用分裂导线的目的是什么。,减小电量和电抗。
电力系统中一级负荷、二级负荷和三级负荷的划分依据是用户对供电有什么要求。,可靠性。
潮流计算中的电压数值约束条件是由什么决定的。,电压质量标准
电压降落指元件两端电压的什么。,相量差。
简述静态稳定和暂态稳定的区别，为什么简单系统的暂态稳定分析不能采用线性化的方法。,静态稳定：在小干扰下电力系统能否恢复到原来的稳定运行状态；暂态稳定：在大干扰下电力系统能否恢复到原来的运行状态或是过渡到新的稳定运行状态。因为受到大干扰，电力系统结构发生变化，运行参数发生变化。
电力系统频率的一次调整指的是什么？能否做到频率的无差调节？,负荷变化引起频率偏差时，系统中凡装有调速器又留有可调容量的发电机组都自动参加频率调整，这就是电力系统频率的一次调整。电力系统频率的一次调整只能做到有差调节。
电力系统电压调整的措施有哪些？,电力系统电压调整可采用的措施有：改变发电机端电压调压；改变变压器电压比调压，补偿无功功率调压，改变电力线路参数调压。
简要说明电力系统电压调整可以采用哪些措施？,电力系统电压调整可采用的措施有：改变发电机端电压调压；改变变压器电压比调压，补偿无功功率调压，改变电力线路参数调压。
列出三种提高系统静态稳定的措施？,提高暂态稳定主要是增大减速面积减小加速面积。而提高静态稳定的措施主要是提高Kp值。当P0一定时则提高Pm而Pm=EV/X 则增大E和V，或减小X。
电力系统的定义是什么？电力系统、动力系统和电力网有何区别？,电力系统就是有大量发电机、变压器、电力线路何负荷组成的旨在生产、传输、分配何消费电能的各种电气设备按一定的方式连成的整体。动力系统不但包括电力系统，还包括发电厂的动力设备，如水电厂的水轮机、水库等等。电力网是电力系统中传输何分配电能的部分。由此可见，动力系统包括电力系统，而电力系统又包括电力网。
写出电力系统的暂态稳定和电力系统的静态稳定的定义？稳定的标志是什么？,电力系统的暂态稳定是指电力系统在某一运行状态下受大的扰动后能否继续保持同步运行。如系统中任何两台发电机之间的功角差都不随时间一直增大，则改系统暂态稳定；否则，暂态不稳定。电力系统的静态稳定是指电力系统在某一运行状态下受到小扰动后能否继续保持稳定运行。如果系统受到下扰动后不发生周期失步或非周期失步，继续运行在起始电或转移到一个相近的稳定运行点，则称系统对该运行情况为静态稳定。否则为静态不稳定。实际系统在什么情况下采用恒定电势源数学模型？本身具有什么特性？当短路点远离电源出口时，使得Z外>>Z内即电源出口到故障点间阻抗远远大于电源内阻抗，这时就可以忽略电源内阻抗。这就相当于电源内阻抗为零的电源即恒定电势源。特点：内阻抗为零，频率恒定，电势恒定。
在电力系统中产生短路冲击电流的条件是什么？,产生冲击电流的条件有三条：短路前空载、短路时电流正处于幅值相位、经过半个周期。
若想提高电力系统暂态稳定性所要考虑的基本原则是什么？提高电力系统静态稳定性呢？,提高暂态稳定主要是增大减速面积减小加速面积。而提高静态稳定的措施主要是提高Kp值。当P0一定时则提高Pm而Pm=EV/X 则增大E和V，或减小X。
简述电力系统稳态运行的基本要求?,三相电力系统满足统经济性运行的要求，每一台发电机的输出必须接近于预先设定值；必须确保联络线潮流低于线路热极限和电力系统稳定极限；必须保持某些中枢点母线上的电压水平在容许范围内，必要时用无功功率补偿计划来达到； 区域电网是互联系统的一部分，必须执行合同规定的输送至邻网的联络线功率计划； 用故障前的潮流控制策略使事故扰动效应最小化。
