N 匝线圈中感应的电动势是？,e=Φ/t,e=N*Φ/t,e=N*Φ*t,e=N2*Φ*t,B
根据（）感应电动势与产生电动势的原因相反。,牛顿定律,楞次定律,法拉第定律,库仑定律,B
北极感应（）,顺时针电流,逆时针电流,零电流,无穷大电流,B
变压器的原理是什么？,高斯定律,库仑定律,电磁感应,安培定律,C
变压器次级线圈中的感应电压由下式给出（）。,NP*VP/NS,NS*VP/NP,(NP/VP)*NS,NP/( VP* NS),B
什么是渗透性物质？,任何良导体,任何不良导体,任何强磁铁,任何磁力线容易穿过的物质,D
保持性好的材料有哪些？,强磁铁,弱磁铁,临时磁铁,永久磁铁,D
磁场沿着下列哪一个方向存在？,移动电荷,固定电荷,铜,铁,A
磁动势等于（）。,电流 * 匝数,电流 / 匝数,电流 / 每单位长度的匝数,电流 * 每单位长度的匝数,A
MMF 的单位是（）,A/m,Am,A,无单位,C
当一块磁铁断成两块时，下列哪一项是正确的？,磁铁失去磁性,磁铁只剩下北极,磁铁只剩下南极,磁铁变成了两个新的条形磁铁,D
当电流流入页面时，磁场的方向是什么？,顺时针,逆时针,无法确定,与电流平行,A
当电流从页面流出时，磁场的方向是什么？,顺时针,逆时针,无法确定,与电流平行,B
电流方向与磁场方向的关系是？,方向相同,方向相反,垂直,不相关,C
自由空间的磁导率也称为（）,磁常数,电常数,静电常数,静磁常数,A
磁导率小于自由空间磁导率的物质是？,抗磁性,顺磁性,铁磁性,非磁性物质,A
以下哪项具有负面易感性？,抗磁性,顺磁性,铁磁性,非磁性物质,A
下列哪项具有阳性易感性？,抗磁性,顺磁性,铁磁性,顺磁性和铁磁性,D
磁导率大于自由空间磁导率的物质是？,抗磁性,顺磁性,铁磁性,顺磁性和铁磁性,D
自由空间渗透率的单位是？,亨利,亨利-m,亨利/m,亨利/m2,C
以下哪项是 µ0的正确表达式。,µ0=BH,µ0=B/ H,µ0=H/B,µ0=BH2,B
如果磁场强度为2A/m，则计算磁通密度。,4*pi*10-7T,8*pi*10-7T,10*pi*10-7T,12*pi*10-7T,B
如果磁通密度为4*piT，则计算磁场强度（）。,10-7/16*pi2A/m,10-7A/m,107A/m,10-7A,C
如果磁场强度为3/m，计算磁通密度。,4*pi*10-7T,8*pi*10-7T,10*pi*10-7T,12*pi*10-7T,D
相对磁导率的单位是什么？,Hm,H/m,H2/m,无单位,D
关于相对磁导率，下列哪一个表达式是正确的？,B = µrµ0/H,B = µrµ0H,B = µr/µ0H,B = µrµ0/H2,B
相对磁导率小于自由空间磁导率的物质是？,抗磁性,顺磁性,铁磁性,非磁性物质,A
相对磁导率大于自由空间磁导率的物质是？,抗磁性,顺磁性,铁磁性,顺磁性和铁磁性,D
反磁性物质具有相对磁导率（）,大于 1,小于 1,等于 1,零,B
顺磁性物质具有相对磁导率（）,大于 1,小于 1,等于 1,零,A
当温度升高到居里温度时，铁磁材料的相对磁化率如何？,增加,减少,保持不变,变为零,A
当温度升高超过居里温度时，铁磁材料的相对磁化率如何？,增加,减少,保持不变,变为零,B
磁阻的倒数为（）,磁导,磁化率,电阻,电导,A
磁阻与材料的长度成（）。,正比,反比,不相关,相等,A
磁阻是材料横截面积的（）。,正比,反比,不相关,相等,B
当材料长度增加时，磁阻会发生什么变化？,增加,减少,保持不变,变为零,A
当材料横截面积增加时，磁阻会发生什么变化？,增加,减少,保持不变,变为零,B
磁阻的单位是？,AWB,A2/WB,WB/A,A/WB,D
磁阻的电当量是？,电阻,电感,电容,电导,A
随着磁场强度的增加，磁阻如何？,增加,减少,保持不变,变为零,A
随着磁通密度的增加，磁阻（）,增加,减少,保持不变,变为零,B
计算磁动势为10匝、磁通为5WB时的磁阻。,0.5A/WB,5A/WB,10A/WB,2A/WB,D
磁路欧姆定律为（）,F=ΦS,F=Φ/S,F=Φ2S,F=Φ/S2,A
当磁通量减少时，MMF 会发生什么变化？,增加,减少,保持不变,变为零,B
计算磁通量为5WB、磁阻为3A/WB时的MMF。,10At,10N,15N,15At,D
在横截面积为500mm2、周长为400mm、φ=800miCroWB的环上缠绕200匝的线圈。计算环的磁通密度。,1.6T,2.6T,3.6T,4.6T,A
在横截面积为500mm2、周长为400mm、φ=800miCroWB的环上缠绕200匝的线圈。环的相对磁导率为380。计算磁阻。,1.68 * 10-4A/WB,1.68 * 104A/WB,1.68 * 106A/WB,1.68 * 10-6A/WB,C
在横截面积为500mm2、周长为400mm、φ=800miCroWB的环上缠绕200匝的线圈。环的相对磁导率为380。计算磁动势。,1442At,1342At,1432At,1344At,D
在横截面积为500mm2、周长为400mm、φ=800miCroWB的环上缠绕200匝的线圈。环的相对磁导率为380。计算磁化电流。,6.7A,7.7A,7.6A,6.1A,A
我们可以将基尔霍夫定律应用于磁路吗？,是,否,取决于电路,提供的信息不足,A
什么是MMF？,磁力机械力,磁动势,磁动力,磁动力,B
磁欧姆定律中电流I的等效值是？,磁通,磁阻,MMF,电阻,A
B/H 特性可以使用（）确定。,电流表,磁通计,电压表,万用表,B
B/H曲线可以用来判断吗？,铁损,磁滞损耗,电压损耗,涡流损耗,B
B/H 比对于（）不是恒定的。,反磁性材料,铁磁性材料,顺磁性材料,非磁性材料,B
使用磁通计时，如果磁通从Φ变为-Φ，电流会发生什么变化？,变为零,变无穷,保持不变,反转,D
为什么弹道检流计的线圈绕在非金属线圈架上？,串联高电阻时最小化阻尼,串联高电阻时最大化阻尼,并联高电阻时最小化阻尼,并联高电阻时最大化阻尼,A
弹道检流计通常有轻微阻尼，因此（）。,它可以振荡,它将保持稳定,第一次摆动的幅度很大,第一次摆动的幅度很小,C
PMM选项C 仪表可通过以下方式用作磁通计：,使用低电阻分流器,拆除控制弹簧,使控制弹簧具有较大的转动惯量,使用串联的高电阻,B
磁滞损耗由（）确定。,B/H 曲线,H/B 曲线,BH 曲线,B2H 曲线,A
什么是PMMC仪器？,永动磁体线圈仪表,永磁电机线圈仪表,永动电机线圈仪表,早动磁体线圈仪表,A
B/H曲线表示什么关系？,磁场强度和磁通量,磁场强度和磁通量密度,电流和磁通量密度,电压和磁通量密度,B
对于电感电路，频率是电感的（）。,正比,反比 ：不相关,远大于,以上都不对,B
对于感应电路，频率是电流的（）。,正比,反比 ：不相关,远大于,以上都不对,B
在感性电路中，当XL值增加时，电路功率因数？,增加,减少,保持不变,变为零,B
如果电流和电压异相90度，功率因数是？,0,无穷大,1,提供的信息不足,A
在纯电感电路中，功率因数为（）。,最大值,最小值,0,无穷大,C
如果功率因数为1/10，阻抗值为20 欧姆，则计算电路中的电阻。,1 欧姆,2 欧姆,3 欧姆,4 欧姆,B
如果电路中的电阻为 2 欧姆且阻抗为 20 欧姆，请计算功率因数。,1/10,1/20,1/30,1/40,A
如果 tan Φ = 10，电阻为 2 欧姆，则计算感抗。,10 欧姆,20 欧姆,30 欧姆,40 欧姆,B
感抗的单位是什么？,亨利,欧姆,法拉,伏特,B
感应电动势被认为是（）。,感应,电容,电阻,无法确定,A
以下哪个是电感的正确公式？,L=emf*t/I,L=emf/t*I,L=emf*I/,L=emf*t*I,A
下列哪项是N匝电感的正确计算公式？,L=et/Ni,L=N*i *e*t,L=Ni/et,L=N/iet,A
对于具有恒定磁阻磁路的线圈，磁通与电流的关系为（）。,正比,反比,不相关,无法确定,A
对于具有恒定磁阻磁路的线圈，如果磁通增加，电流会发生什么变化？,增加,减少,保持不变,变为零,A
电感的单位是（）。,欧姆,亨利,A/m,A/s,B
如果电感或电流变化率加倍，则感应电动势？,保持不变,变为零,加倍,变半,C
如果2秒内电流从5A变为3A，电感为10H，计算电动势。,5V,10V,15V,20V,B
如果电流在 x 秒内从 5A 变为 3A，电感为 10H。电动势为10V，计算x值。,2s,3s,4s,5s,A
随着线圈匝数的增加，线圈的电感会发生什么变化？,增加,减少,保持不变,变为零,A
当磁场强度减小时，电感会发生什么变化？,增加,减少,保持不变,变为零,B
当线圈中的电流变为原来值的两倍时，电感会发生什么变化？,变成一半,变成四倍,变成两倍,保持不变,D
当线圈缠绕在铁磁芯上时，为什么电感值很难确定？,磁通的变化不再与电流的变化成正比,线圈中不存在电流,线圈中不存在磁通,电流值太大而无法测量,A
当线圈横截面积增加时，电感会发生什么变化？,增加,减少,保持不变,变为零,A
随着磁路长度的增加，电感会发生什么变化？,增加,减少,保持不变,变为零,B
如果电流在 5 秒内从 20 变为 10，电感值为 1H，则计算感应电动势。,8V,6V,4V,2V,D
当铁磁芯插入电感器时，磁链会发生什么变化？,增加,减少,保持不变,变为零,A
当电感器中引入铁磁材料时，电流会发生什么变化？,增加,减少,保持不变,变为零,C
当电感器中引入铁磁芯时，磁通与磁化电流之间的关系是什么？,正比,反比,不成比例,电流是磁通的两倍,C
引入铁磁芯后，有效电感会发生什么变化？,增加,减少,保持不变,变为零,A
叠片钢环缠绕200圈。当磁化电流在5A和7A之间变化时，磁通量在760WB和800WB之间变化。计算线圈的电感。,40H,4H,4000H,0.004H,C
计算当电感为 4000 H、电流从 5A 变为 7A、磁通从 760 变为 800 WB 时，具有铁磁芯的电感器的匝数。,100,200,300,400,B
计算电感为 4000H、匝数为 200、磁通从 760 WB 变化到 800 WB 的电感器中的电流变化。,2A,4A,6A,8A,A
计算电感为 4000 H、匝数为 200、磁通从 760 WB 变化到 800 WB 的电感器中的初始电流。电流变为7A。,10A,2A,3A,5A,D
计算电感为 4000 H、匝数为 200、电流从 5A 变化到 7A 的电感器的磁通变化。,20 WB,40 WB,60 WB,80 WB,B
计算电感为 4000 H、匝数为 200、电流从 5A 变为 7A 的电感器中的最终磁通。初始通量为 760 WB。,200 WB,400 WB,600 WB,800 WB,D
在纯感性电路中，功率因数是？,最大值,最小值,0,无穷大,C
以下哪一个是电感电路增长的正确公式？,VL=V(1-e-tR/L),VL=(e-tR/L),VL=(1-e-tR/L),VL=V(e-tR/L),D
由电感器组成的电路的充电时间常数是指电感器中的电压达到初始电压的（）%所需的时间。,33,63,37,36,C
电感电路的时间常数是多少？,LR,R/L,1/L,L/R,D
计算电阻为 5 欧姆、电感为 10H 的电感电路的时间常数。,2 秒,4 秒,5 秒,10 秒,A
计算时间常数为2s、电感为10H 的电感电路中的电阻。,7 欧姆,10 欧姆,2 欧姆,5 欧姆,D
计算时间常数为2s、电阻为5 欧姆的电感电路中的电感。,10 小时,20 小时,5 小时,15 小时,A
由电感器组成的电路的充电时间常数是指电感器中的电流达到初始电流的（）%所需的时间。,33,63,37,36,B
电感电路中的总施加电压是多少？,V=Ri+LDi/Dt,V=Ri+Di/Dt,V=i+LDi/Dt,V=R+LDi/Dt,A
什么是亥姆霍兹方程？,i=I(eRt/L),i=I(1-e-Rt/L),i=I(1+e-Rt/L),i=I(e-Rt/L )）,B
线圈的电阻为4欧姆，电感为2H。它连接到 20V 直流电源。计算电路中电流的初始值。,5A,10A,0A,20A,C
线圈的电阻为4欧姆，电感为2H。它连接到 20V 直流电源。计算电路中电流的最终值。,5A,10A,15A,20A,A
线圈的电阻为4欧姆，电感为2H。它连接到 20V 直流电源。计算开关闭合后1s的电流值。,5.44A,4.32A,6.56A,2.34A,B
线圈的电阻为4欧姆，电感为2H。它连接到 20V 直流电源。计算开关闭合后1s的电压值。,5.4V,10.8V,0V,2.7V,D
以下哪一个是电感电路衰减的正确公式？,i=I(1-e-t/时间常数),i=I(1-et/时间常数),i=(1-e-t/时间常数),i=I(e-t/时间常数）,D
由电感器组成的电路的放电时间常数是指电感器中的电压变为初始电压的（）%所需的时间。,33,63,37,36,C
线圈的电阻为 4 欧姆，电感为 2H。它连接到 20V 直流电源。计算电感两端电压的初始值。,5V,10V,0V,20V,D
线圈的电阻为 4 欧姆，电感为 2H。它连接到 20V 直流电源。计算电感两端电压的最终值。,5V,10V,0V,20V,C
RL 网络由（）组成。,电阻器和电容器并联,电阻器和电容器串联,电阻器和电感器并联,电阻器和电感器串联,D
在RL串联电路中，当开关闭合且电路接通时，有何反应？,响应不随时间变化,随时间衰减,随时间增大,先增大，后减小,B
最初，当串联 RL 电路中的开关闭合时，电感器的作用是（）。,开路,短路,电阻,电容,A
最初，当串联 RL 电路中的开关闭合时，电感器中的电流为？,最大值,最小值,零,无穷大,C
如果具有恒定电感 L 亨利的线圈中的电流以均匀速率增长，则平均电流值为多少？,I,I/2,I/4,0,B
如果线圈中的电流具有恒定的 L 亨利电感并以均匀的速率增长，则磁场中的功率是多少？,LI/2t,LI2/2t ：L/2It,L/2I2t,以上都不对,B
如果线圈中的电流具有恒定的 L 亨利电感并以均匀的速率增长，则磁场中存储的能量是多少？,LI/2,LI2/2,L/2I,L/2I2,B
如果电感器中的总电流为 26，则求电感器中的平均电流。,10A,26A,13A,5A,C
计算电感电路中的功率，如果电感为10H，4s内流过电感的电流为2A。   ,50W,4W,5W,10W,C
如果电感值为20H，流过4A 电流，计算电感中存储的能量值。,220J,150J,190J,160J,D
如果电感为 10H，电流为 2A，4 秒内计算电感中的感应电动势。,2.5V,1.5V,3.5V,5V,D
如果电感值为 15H，10 秒内流过平均电流 5A，请计算电感器中的电动势值。,15V,7.5V,10V,5.5V,B
如果存储的能量为 160J，电感为 20H，请计算电感器中的电流。,1A,2A,3A,4A,D
如果电感器的功率为 5W，求电感器中的电流从 0A 变为 2A 所需的时间。电感值为10H。,1s,2s,3s,4s,D
由于相邻线圈中的电流而在一个线圈中产生感应电流的现象是？,电磁,电纳,互感,恒定电流,C
如果一个线圈中的电流稳定，则相邻线圈中的电流为？,零,无穷,双倍,一半,A
如果一个线圈中的电流稳定，互感会发生什么变化？,零,无穷,双倍,一半,A
互感的SI单位是什么？,欧姆,亨利,伏特,西门子,B
以下哪项是互感的正确表达方式？,M=N2Φ2/I2,M=N2Φ2/I1,M=N1Φ2/I2,M=N1Φ1/I1,B
如果线圈 1 的磁链为 3WB，匝数为 500，线圈 2 的电流为 2A，则计算互感。,750H,500H,450H,900H,A
线圈 1 的磁链为 3WB，匝数为 x，线圈 2 的电流为 2A，如果互感为 750H，则计算 x 的值。,300,400,500,700,C
线圈 1 的磁链为 x，匝数为 500，线圈 2 的电流为 2A，如果互感为 750H，则计算 x 的值。,1WB,2WB,3WB,4WB,C
线圈 1 的磁链为 3 WB，匝数为 500，线圈 2 的电流为 xA，如果互感为 750H，请计算 x 的值。,1A,2A,3A,4A,B
互感的实际应用是（）,直流发电机,交流发电机,变压器,电容器,C
电感器的类型有（）,固定式和可变式,仅固定式,仅可变式,既不是固定式也不是可变式,A
当线圈1的所有磁通都与线圈2交链时，耦合系数是多少？,0,100,1,提供的信息不足,C
理想耦合时的耦合系数是多少？,0,100,1,提供的信息不足,C
耦合系数实际上可以等于1吗？,是,否,取决于线圈 1 中的电流,取决于线圈 2 中的电流,B
两个耦合线圈之间的互感取决于什么？,磁链量,磁链变化率,电流变化率,磁通密度,B
下列哪一个是计算耦合系数的正确公式？,k=M/sqrt(L1L2),k=M/sqrt(L12),k=M/sqrt(L22),k=M/(L1L2),A
当线圈1和线圈2的磁链增加时，耦合系数会发生什么变化？,增加,减少,保持不变,变为零,A
耦合系数的SI单位是什么？,H,H-1,无单位,H2,C
如果互感为20H，线圈1 的电感为2H，线圈2 的电感为8H，求耦合系数。,5,20,2,8,A
如果互感为 x H，线圈 1 的电感为 2H，线圈 2 的电感为 8H，则求 x 的值。耦合系数为5。,10H,20H,16H,15H,B
如果互感为 20H，线圈 1 的电感为 xH，线圈 2 的电感为 8H，求 x 的值。耦合系数为5。,2H,4H,6H,8H,A
电感串联时的等效电感是多少？,所有单独电感的总和,所有单独电感的乘积,所有单独电感的倒数之和,所有单独电感的倒数的乘积,A
当电感串联时，等效电感为（）最大的单个电感。,大于,小于,等于,不相关,A
将三个电感值为3H、4H、5H的电感串联，计算等效电感。,10H,12H,3H,5H,B
当电感器串联时，每个电感器两端的电压是（）。,相等,不同,,无穷大,B
在串联电路中，哪些参数在所有电路元件（例如电阻器、电容器、电感器等）中保持恒定？,电压,电流,电压和电流,既不是电压也不是电流,B
下列哪项是生成交变电动势的正确表达式？,e=2Blvsin(θ),e=2B2lvsin(θ),e=Blvsin(θ),e=4Blvsin(θ),C
为了获得最大电动势，θ 应该是多少？,00,900,1800,450,B
计算速度为10m/s、长度为3m、磁场密度为5T 时的最大电动势。,150V,100V,300V,0V,A
当线圈在磁场中旋转时，线圈中会产生感应电动势吗？,是最大值,是最小值,连续变化,保持恒定,C
如果速度和长度之间的角度为（），则电动势为零。,00,900,2700,450,A
在交流发电机中，增加线圈匝数（）。,增加电动势,减少电动势,使电动势为零,保持电动势恒定,A
一秒钟内发生的周期数称为（）,波形,频率,幅度,周期,B
图形上显示的量（例如电压或电流）的变化称为（）。,波形,峰值,瞬时值,周期,A
称为（）的一个周期的持续时间是多少？,波形,峰值,瞬时值,周期,D
变量的重复，以相等的时间间隔重复出现，称为（）,波形,瞬时值,周期,平均值,C
给定波形在任意时刻的值称为（）。,波形,瞬时值,周期,周期,B
从零值开始测量的最大瞬时值称为？,峰值,峰峰值,周期,周期,A
最大正值和最大负值之间的最大变化称为？,峰值,峰峰值,周期,周期,B
正弦波形的峰值和峰峰值之间的正确关系是什么？,Vp=4Vp-p,Vp=Vp-p,Vp-p=2Vp,Vp=2Vp-p,C
如果峰峰值电压为10V，则计算峰值电压。,10V,2V,4V,5V,D
产生的电动势波形在什么时候经历一个完整的周期？,导体经过北极,导体经过南极,导体经过北极和南极,导体静止,C
什么时候电动势波形负半部分的形状等于正半部分？,当导体移过北极时,当导体移过南极时,当导体同时移过北极和南极时,当导体静止时,C
交流发电机频率的正确公式是什么？,f=p*n,f=p/n,f=n/p,f=n2p,A
如果转数增加，频率会发生什么变化？,增加,减少,保持不变,变为零,A
如果极对数增加，频率会发生什么变化？,增加,减少,保持不变,变为零,A
如果转数为 300，配对极数为 50，则计算频率。,15kHz,150kHz,1500kHz,150Hz,A
计算频率为 15kHz、配对极数为 50 时的转数。,100,200,300,400,C
计算频率为 15kHz、转数为 300 时的极对数。,10,30,50,70,C
n=50 的两极电机的频率是多少？,100Hz,200Hz,50Hz,25Hz,C
机器必须具有的最小极数（）。,1,2,4,10,B
求等距电流为4、5、6时的电流平均值。,5A,6A,15A,10A,A
求等距区域的电流除以n，得到的电流是多少？,有效电流,平均电流,瞬时电流,总电流,B
RMS 代表（）。,均方根,均方根,最大和根,最小和根,A
求电流的平方，然后求平均值，然后求平方根，得到的电流是什么类型？ ,有效电流,平均电流,瞬时电流,总电流,A
（）电流的计算方法是用半周所围成的面积除以半周底边的长度。,有效电流,平均电流,瞬时电流,总电流,B
电流有效值是多少？,有效电流,平均电流,瞬时电流,总电流,A
在正弦波中，平均电流始终为（）rms 电流。,大于,小于,等于,不相关,B
对于矩形波，平均电流为（）rms 电流。,大于,小于,等于,不相关,C
峰值除以有效值可以得到什么？,峰值因数,波峰因数,峰值和波峰因数,既没有峰值也没有波峰因数,C
如果电流峰值为10，有效值为2A，计算波峰因数。 ,5,10,5A,10A,A
如果电流最大值为5√2A，则电流有效值是多少？,10 A,5 A,15 A,25 A,B
如果 Im 是正弦电压的最大值，那么瞬时值是多少？,i=Im/2,i=Imsinθ,i=Imcosθ,i=Imsinθ 或 i=Imcosθ,D
半个周期的电流平均值是？,0.67Im,0.33Im,6.7Im,3.3Im,A
电流有效值的正确表达式是什么？,Irms=Im/2,Irms=Im/√2,Irms=Im/4,Irms=Im,B
一个完整周期的电流平均值是？,0.67Im,0,6.7Im,3.3Im,B
外形尺寸的正确表达方式是什么？,Irms* IAv,Irms/ IAv,Irms+ IAv,Irms– IAv,B
对于直流电，有效值电流是（）平均电流。,大于,小于,等于,不相关,C
对于直流电，有效值电压是（）平均电压。,大于,小于,等于,不相关,C
正弦电流的形状因数是多少？,π/2,π/4,2π,π/√2,A
如果电流的最大值为5√2A，那么平均电流是多少？,10/π A,5/π A,15/π A,25/π A,A
对于相量的加法和减法，我们使用（）形式。,矩形,极坐标,矩形或极坐标,既不是矩形也不是极坐标,A
对于相量的乘法和除法，我们使用（）形式。,矩形,极坐标,矩形或极坐标,既不是矩形也不是极坐标,B
如果一个电压 2+5j 和另一个电压 3+6j 流过电路中串联的两个不同电阻，求电路中的总电压。,2+5j V,3+6j V,5+11j V,5+10j V,C
如果电路中流过两个电流 4+5j，求电路中的总电流。  ,4+5j A,4A,5A,8+10j A,D
ω的正确表达方式是什么？,ω=2π,ω=2πf,ω=πf,ω=2f2,B
求频率为5Hz时的ω值？,3.14 拉德/秒,31.4 拉德/秒,34 拉德/秒,341 拉德/秒,B
当一个正弦波通过另一个正弦波后面的零时，它是（）。,超前,滞后,既不超前也不滞后,要么超前要么滞后,B
相量冻结在 30 度，求相角值。,30 度,60 度,120 度,180 度,A
交流相量的时间轴代表什么？,时间,相位角,电压,电流,B
相量的长度代表什么？,数量的大小,数量的方向,既不大小也不方向,大小或方向,A
电流表和电压表的读数如何校准？,有效值,峰值,平均值,瞬时值,A
有效值是最大值的（）倍。,1.414,0.5,2,0.707,D
有效值是（）值的 0.707 倍。,峰值,瞬时,平均值,最小,A
如果绘制相量来表示最大值而不是均方根值，那么量之间的相位角会发生什么变化？,增加,减少,保持不变,变为零,C
通常绘制相量图代表什么？,有效值,峰值,平均值,瞬时值,A
如果大小分别为 12A 和 5A 的两个电流相量以 90 度相交，计算合成电流。,13A,10 A,6 A,5 A,A
如果大小分别为 5A 和 10A 的两个电流相量以 60 度角相交，计算合成电流。,12.23 A,12.54 A,13.23 A,14.24 A,C
两个交流电压的瞬时值由v1=60sinθ 和 v2=40sin(θ − π/3) 给出。求瞬时总和。,87.2 sin(36.5°) V,87.2 sin(0.5°) V,87.2 sin(26.5°) V,87.2 选项cos(36.5°) V,A
两个交流电压的瞬时值如下：v1=60sinθ 和 v2=40sin(θ − π/3)。求瞬时总和。,53 sin(71.5°) V,53 sin(79..5°) V,53 sin(26.5°) V,53 选项cos(36.5°) V,B
两个交变正弦电压或电流的合力可以用（）。,三角定律,平行四边形定律,三角形或平行四边形定律,既不是三角形也不是平行四边形定律,B
瞬时电压是电阻电路中电阻和（）电流的乘积。,瞬时,平均值,RMS ：峰值,以上都不对,A
如果电路中的电阻为 2 欧姆，瞬时电流为 5A，求瞬时电压值。,5V,2V,10V,2.5V,C
纯电阻电路的功率何时为零？,电流为零,电压为零,电流和电压均为零,电流或电压其中之一为零,D
如果电阻电路中的瞬时电压为Vm(sint)，则瞬时电流的正确表达式是？,1A,2A,3A,4A,B
如果有效值电压为 20V，有效值电流为 2，计算电路中的电阻。,2 欧姆,5 欧姆,10 欧姆,20 欧姆,C
电阻电路中瞬时电流的正确表达式是？,i=Vm(sint)/R,i=Vm(cost)/R,i=V(sint)/R,i=V(cost)/R,A
欧姆定律可以应用在交流电路中吗？,是,否,取决于均方根电流,取决于均方根电压,A
如果电感电路中的瞬时电压为Vm(sint)，则瞬时电流的正确表达式是？,i = Vm(sint)/XL,i = Vm(cost)/XL,i = -Vm(sint)/XL,i = -Vm(cost)/XL,D
电感不允许（）突变？,电压,电流,电阻,电感,B
电感是（）为线圈匝数。,正比,反比,相等,不相关,A
扼流圈涉及使用（）。,电阻器,电容器,电感器,晶体管,C
当没有施加电压时，电感电路中的电流值是多少？,最小值,最大值,零,无法确定,B
当施加的电压最大时，电感电路中的电流是多少？,无穷大,最大值,零,无法确定,C
在电感电路中，电压（）电流？,超前,滞后,大于,小于,A
在电感电路中，电流（）电压？,超前,滞后,大于,小于,B
哪些器件不能使用电感？,滤波器电路,变压器,扼流圈,电介质,D
欧姆的电阻串联31.8mH的电感。该电路连接到 100V 50Hz 正弦电源。计算电路中的电流。,2.2A,4.2A,6.2A,8.2A,D
串联一个7欧姆的电阻和一个31.8mH的电感。该电路连接到 100V 50Hz 正弦电源。计算相位差。,-55.1,55.1,66.1,-66.1,A
串联一个7欧姆的电阻和一个31.8mH的电感。该电路连接到 100V 50Hz 正弦电源。计算电阻两端的电压。,31.8V,57.4V,67.3V,78.2V,B
串联一个7欧姆的电阻和一个31.8mH的电感。该电路连接到 100V 50Hz 正弦电源。计算电感器两端的电压。,52V,82V,65V,76V,B
串联一个7欧姆的电阻和一个31.8mH的电感。该电路连接至 x V 50Hz 正弦电源。电路中的电流为8.2。计算 x 的值。,10V,50V,100V,120V,C
下列哪项是 φ 的正确表达式。,φ=tasn-1(XL/R),φ=tan-1(R/XL),φ=tan-1(XL*R),φ=cos-1(XL/R),A
对于 RL 电路，相位角始终为（）。,正,负,0,90,B
就电压而言，φ 是多少？,φ=cos-1V/VR,φ=cos-1V*VR,φ=cos-1VR/V,φ=tan-1V/VR,C
阻抗三角形中的 sin 是多少？,XL/R,XL/Z,R/Z,Z/R,B
交流电路的谐振频率是多少？,1/√LC,√(L/C),√LC,LC,A
什么是谐振阻抗？,最大值,最小值,零,无法确定,B
谐振时的阻抗值为多少？,XL,XC,R,0,C
就电压而言，φ是多少？,φ=cos-1V/VR,φ=cos-1V*VR,φ=cos-1VR/V,φ=tan-1V/VR,C
RC电路中的tanφ是什么？,XC/R,XL/R,R/Z,Z/R,A
谐振条件是什么？,当 XL>XC,当 XL<XC,当 XL=XC,当 X C=无穷大时,C
共振条件下的频率是多少？,最小值,最大值,无法确定,零,B
电容器可以用交流电充满吗？,是,否,可能会也可能不会,取决于电容值,A
电容器的电阻是多少？,电纳,电导,导纳,电抗,D
电阻和电抗的组合称为（）。,电纳,阻抗,电导,导纳,B
电抗、电阻、阻抗之间有什么关系？,Z=R+jX,Z=R+X,Z=RX,Z=R-jX,A
RLC电路阻抗的实部是多少？,电阻,电导,导纳,电抗,A
RLC电路的阻抗虚部是多少？,电阻,电导,导纳,电抗,D
电容器可以存储哪种类型的电流？,交流电,直流电,交流电和直流电,既不是交流电也不是直流电,B
如果在交流电路中，电阻为 5 欧姆，容抗为 12 欧姆，则阻抗是多少？,5 欧姆,10 欧姆,12 欧姆,13 欧姆,D
如果在交流电路中，阻抗为26欧姆，容抗为24欧姆，则电阻是多少？,25 欧姆,10 欧姆,12 欧姆,23 欧姆,B
如果在交流电路中，将 30 µF 的电容连接到 200V、50Hz 的电源上。求电路中的电流。,1.38 A,1.89 A,1.74 A,0.89 A,A
如果在交流电路中，电容C接200V、50Hz的电源。电路中的电流为 1.89 A。求电容C。,30 µF,20 µF,10 µF,15 µF,A
在交流电路中，电阻5欧姆与容抗12欧姆的电容器相连。260 V 电源连接至电路。计算电路中的电流。,40 A,10 A,20 A,30 A,C
在交流电路中，电阻5欧姆与容抗12欧姆的电容器连接。260 V 电源连接至电路。计算电阻两端的电压。,300V,200V,240V,100V,D
在交流电路中，电阻5欧姆与容抗12欧姆的电容器连接。260 V 电源连接至电路。计算电容器两端的电压。,300V,200V,240V,100V,C
求当 i=3mA、V L=30V、Vc=18V 且 R=1000 欧姆时施加在串联 RLC 电路中的总电压。,3.95V,51V,32.67V,6.67V,B
在 RLC 电路中，下列哪一项始终用作矢量参考？,电压,电阻,阻抗,电流,A
在 RLC 电路中，功率因数始终为（）。,正,负,取决于电路,零,C
在 RLC 系列相量中，我们从哪个量开始绘制相量？,电压,电阻,阻抗,电流,D
RLC串联电路中相位角的正确表达式是什么？,φ=tan-1(XL-XC)/R,φ=tan-1(XL+XC)/R,φ=tan(XL-XC)/R,φ= tan-1(XL-XC),A
tanφ什么时候为正值？,当感抗小于容抗时,当感抗大于容抗时,当感抗等于容抗时,当感抗为零时,B
tanφ什么时候为负值？,当感抗小于容抗时,当感抗大于容抗时,当感抗等于容抗时,当感抗为零时,A
下列哪一个不是交流波形？,正弦波,方波,常数,三角波,C
什么不是交流电流的频率？,50 赫兹,55 赫兹,0 赫兹,60 赫兹,C
在交流电路中，电阻 50 Ω、电感 0.3 H、电容 15 μF 连接到交流电压源 25 V、50 Hz。确定电路中的感抗。,36 欧姆,95 欧姆,125 欧姆,140 欧姆,B
